Designator,Footprint,Quantity,Value,LCSC Part #
C102,C_Elec_10x10.2,1,330u,C239324
C103,CP_Elec_10x10.5,1,220u,C2886113
"C104, C105",0805,2,10u,C15850
C300,0603,1,10u,C19702
"C301, C302, C303, C304, C308, C311, C312",0402,7,100n,C1525
C305,0402,1,10n,C15195
"C306, C307",0603,2,1u,C15849
"C309, C310",0402,2,10p,C32949
"D100, D201, D205, D209, D212",SOD_123FL,5,SMF24A-TP,C545276
D101,D_SOD-123,1,MMSZ4697T1G,C48870
D102,D_SMA,1,ss34,C8678
D103,0603,1,GREEN,C72038
"D200, D204, D208, D213",Nexperia_CFP3_SOD-123W,4,PROTECCION,C552879
"D202, D206, D210, D214",SOD_123FL,4,SM4007PL,C64898
D203,0603,1,LED_HEADBOARD,C72038
"D207, D211, D215",0603,3,LED_TABLE,C72038
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J100,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,VCC INPUT,
J101,JST_B2B-XH-A_LF__SN_,1,SWITCH ON/OFF,
J103,PinHeader_1x02_P2.54mm_Vertical,1,FAN VOLTAGE,
"J200, J201, J202","PhoenixContact_MSTBA_2,5_5-G-5,08_1x05_P5.08mm_Horizontal",3,LIGHT SWITCH & LED STRIP,
J203,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,LED STRIP,
J300,PinSocket_1x03_P2.54mm_Vertical,1,Serial Wire Debug,
J301,SW_DIP_SPSTx05_Slide_9.78x14.88mm_W7.62mm_P2.54mm,1,CAN_ID_CONFIG,
J302,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,CAN_INPUT,
J304,PinHeader_1x02_P2.54mm_Vertical,1,JUMPER_CANL,
K200,Relay_SPDT_Finder_36.11,1,RELAY_HEADBOARD,
K201,Relay_SPDT_Finder_36.11,1,RELAY_TABLE,
K202,Relay_SPDT_Finder_36.11,1,RELAY_CEILING,
K203,Relay_SPDT_Finder_36.11,1,RELAY_SIGN,
L101,SMD_12.3X12.3mm,1,68u,C2929504
L300,0603,1,10n,C913709
Q100,SOT-23,1,WST4045,C719073
"Q200, Q201, Q202, Q203",SOT-23,4,MMBT3904,C20526
R100,1206,1,100K,C17900
"R101, R200, R201, R203, R204, R206, R207, R209, R210",0603,9,1k,C21190
"R202, R205, R208, R211",0603,4,10K,C25804
R300,0402,1,10k,C25744
"R301, R303, R305",0805,3,33k,C17633
"R302, R304, R306",0805,3,5.1k,C27834
R308,0805,1,120,C17437
S300,SWITCH_SMD,1,TS-1187A-B-A-B,C318884
"TP100, TP101, TP102, TP103, TP104, TP300, TP301, TP302, TP303, TP304, TP307, TP308",TestPoint_Pad_D2.0mm,12,TestPoint,
U100,TO-263-5_TabPin3,1,LM2596S-5,C10002
U101,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U300,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U301,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,C191417
Y300,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
