Designator,Mid X,Mid Y,Rotation,Layer
C102,162.1028,-47.9044,90.0,top
C103,188.4934,-56.0832,90.0,top
C104,116.459,-108.9914,0.0,top
C105,122.9106,-113.2078,90.0,top
C300,140.4874,-106.7308,90.0,top
C301,150.7236,-116.332,180.0,top
C302,142.0368,-106.9594,90.0,top
C303,154.305,-107.0864,270.0,top
C304,145.0848,-104.1908,0.0,top
C305,142.0368,-111.2266,90.0,top
C306,140.462,-111.3282,90.0,top
C307,138.3284,-111.3282,90.0,top
C308,140.4574,-89.2723,180.0,top
C309,136.8552,-108.5088,180.0,top
C310,134.5184,-108.5088,0.0,top
C311,151.5618,-123.2154,90.0,top
C312,155.192,-116.7272,0.0,top
D100,142.6586,-44.6786,0.0,top
D101,147.193,-50.0634,270.0,top
D102,164.6936,-65.4812,270.0,top
D103,192.7606,-66.0146,180.0,top
D200,190.754,-99.4664,180.0,top
D201,194.7286,-81.6262,270.0,top
D202,180.3776,-92.202,90.0,top
D203,183.4896,-91.2876,270.0,top
D204,114.2746,-73.5076,0.0,top
D205,111.3536,-64.2366,270.0,top
D206,123.2662,-71.6788,90.0,top
D207,126.2248,-70.866,270.0,top
D208,190.627,-120.8786,180.0,top
D209,194.8688,-111.9886,270.0,top
D210,176.8714,-121.7399,90.0,top
D211,179.83,-120.8509,270.0,top
D212,111.3404,-90.043,270.0,top
D213,115.1636,-78.3844,0.0,top
D214,118.3894,-101.4222,90.0,top
D215,121.5136,-100.0506,270.0,top
J100,145.2494,-40.6146,180.0,top
J101,128.2446,-41.529,0.0,top
J103,200.406,-54.737,0.0,top
J200,199.1106,-94.6404,90.0,top
J201,106.9716,-57.1246,270.0,top
J202,199.2508,-125.6792,90.0,top
J203,106.9602,-87.4014,270.0,top
J300,157.4696,-103.9118,90.0,top
J301,133.2738,-128.651,90.0,top
J302,152.7048,-128.2446,0.0,top
J304,163.8604,-118.1354,270.0,top
K200,169.4688,-80.1624,0.0,top
K201,136.398,-60.2742,180.0,top
K202,170.3596,-109.982,0.0,top
K203,132.0668,-89.3572,180.0,top
L101,174.9806,-62.9666,0.0,top
L300,139.6238,-113.8936,180.0,top
Q100,142.5448,-48.387,0.0,top
Q200,187.071,-91.6178,270.0,top
Q201,129.54,-71.1962,270.0,top
Q202,183.452,-121.3104,270.0,top
Q203,124.714,-100.4062,270.0,top
R100,142.621,-52.7558,180.0,top
R101,196.4182,-66.0146,180.0,top
R200,183.4896,-94.9198,270.0,top
R201,187.0456,-95.123,180.0,top
R202,173.8122,-92.9151,270.0,top
R203,126.238,-74.295,270.0,top
R204,129.5908,-74.7522,180.0,top
R205,133.0452,-73.8886,270.0,top
R206,179.8422,-124.1275,270.0,top
R207,183.4388,-124.6886,180.0,top
R208,173.101,-121.6152,270.0,top
R209,121.5136,-103.7844,270.0,top
R210,124.6378,-104.1908,180.0,top
R211,128.4732,-103.3526,270.0,top
R300,146.5072,-99.3648,90.0,top
R301,176.6824,-99.4156,270.0,top
R302,173.6852,-99.4156,90.0,top
R303,131.3942,-78.2828,270.0,top
R304,134.493,-79.248,0.0,top
R305,175.8188,-128.4986,270.0,top
R306,173.1264,-128.524,90.0,top
R308,162.5092,-121.4882,0.0,top
S300,140.432,-94.155,90.0,top
U100,174.5488,-47.2186,90.0,top
U101,117.8052,-114.935,90.0,top
U300,148.1958,-110.2106,270.0,top
U301,155.2174,-121.223,180.0,top
Y300,135.6868,-105.9434,180.0,top
